,Tm,Lg,D,SRS,rSOS,,W,L,,W,L,,W,L,,Best,Worst,,Post,WC,Div,LDS,LCS,Pennant,Win WS,,1 Day,7 Days,30 Days
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Atlanta Braves,NL,E,0.9,0.1,,68,58,,19.5,15.5,,87.5,73.5,,92-69,83-78,,84.4%,1.4%,83.0%,83.7%,41.8%,19.5%,9.6%,,-1.8%,+9.0%,+60.8%
2,Philadelphia Phillies,NL,E,0.1,-0.5,,63,62,,20.1,16.9,,83.1,78.9,,88-74,78-84,,20.7%,4.9%,15.8%,18.0%,7.8%,2.6%,0.9%,,+4.2%,-9.7%,-7.6%
3,New York Mets,NL,E,-0.1,0.1,,61,64,,17.6,18.4,,78.6,82.4,,84-77,73-88,,1.7%,0.5%,1.2%,1.3%,0.6%,0.3%,<0.1%,,-0.4%,-0.5%,-39.9%
4,Washington Nationals,NL,E,-0.2,-0.1,,54,70,,18.9,19.1,,72.9,89.1,,78-84,68-94,,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,-0.1%,-6.3%
5,Miami Marlins,NL,E,-0.4,0.0,,51,75,,16.4,18.6,,67.4,93.6,,72-89,63-98,,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,0.0%,-1.9%
1,Milwaukee Brewers,NL,C,0.8,-0.1,,77,49,,20.2,15.8,,97.2,64.8,,102-60,92-70,,>99.9%,1.7%,98.3%,98.7%,50.6%,22.5%,10.4%,,+0.2%,0.0%,+8.0%
2,Cincinnati Reds,NL,C,0.2,-0.5,,69,58,,18.9,16.1,,87.9,74.1,,93-69,83-79,,73.8%,72.1%,1.7%,32.6%,11.3%,4.0%,1.2%,,-3.0%,+26.0%,+62.4%
3,St. Louis Cardinals,NL,C,-0.6,0.1,,63,61,,17.0,21.0,,80.0,82.0,,85-77,75-87,,2.3%,2.3%,<0.1%,1.2%,0.1%,<0.1%,<0.1%,,+0.4%,-2.2%,-2.2%
4,Chicago Cubs,NL,C,-1.0,-0.3,,55,72,,16.1,18.9,,71.1,90.9,,76-86,66-96,,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,0.0%,-2.9%
